PATCH	REPLICA	TIME	STATUS	EGGS	LARVAE	JUVEN	AFEMA	AMALES	OVERALLPOP	TREAT
16NO5	3	5	1	48	5	0	0	0	54	16
16NO5	3	6	1	57	11	0	0	0	69	16
16NO5	3	7	1	45	5	19	0	0	70	16
16NO5	3	10	1	22	6	37	3	2	70	16
16NO5	4	1	NA	NA	NA	NA	NA	NA	NA	16
16NO5	4	2	NA	NA	NA	NA	NA	NA	NA	16
16NO5	4	3	NA	NA	NA	NA	NA	NA	NA	16
16NO5	4	4	NA	NA	NA	NA	NA	NA	NA	16
16NO5	4	5	NA	NA	NA	NA	NA	NA	NA	16
16NO5	4	6	NA	NA	NA	NA	NA	NA	NA	16
16NO5	4	7	NA	NA	NA	NA	NA	NA	NA	16
16NO5	4	10	NA	NA	NA	NA	NA	NA	NA	16
4NO2	1	1	1	11	0	0	0	0	12	4
4NO2	1	2	1	24	0	0	0	0	25	4
4NO2	1	3	1	39	0	0	0	0	40	4
4NO2	1	4	1	53	0	0	0	0	54	4
4NO2	1	5	1	56	11	0	0	0	68	4
4NO2	1	6	1	56	14	4	0	0	75	4
4NO2	1	7	1	51	16	20	0	0	88	4
4NO2	1	10	1	18	1	39	5	8	71	4
4NO2	2	1	1	0	0	0	0	0	1	4
4NO2	2	2	1	0	0	0	0	0	1	4
4NO2	2	3	1	0	0	0	0	0	1	4
4NO2	2	4	1	0	0	0	0	0	1	4
4NO2	2	5	1	0	0	0	0	0	1	4
4NO2	2	6	1	0	0	0	0	0	1	4
4NO2	2	7	1	0	0	0	0	0	1	4
4NO2	2	10	1	0	0	0	0	0	0	4
4NO2	3	1	1	12	0	0	0	0	13	4
4NO2	3	2	0	15	0	0	0	0	15	4
4NO2	3	3	0	15	0	0	0	0	15	4
4NO2	3	4	0	16	0	0	0	0	16	4
4NO2	3	5	0	0	11	0	0	0	11	4
4NO2	3	6	0	0	11	2	0	0	13	4
4NO2	3	7	0	0	1	12	0	0	13	4
4NO2	3	10	0	0	0	3	7	5	15	4
4NO2	4	1	1	10	0	0	0	0	11	4
4NO2	4	2	1	17	0	0	0	0	18	4
4NO2	4	3	1	35	0	0	0	0	36	4
4NO2	4	4	1	42	0	0	0	0	43	4
4NO2	4	5	1	44	10	0	0	0	55	4
4NO2	4	6	1	50	11	2	0	0	64	4
4NO2	4	7	1	42	15	16	0	0	74	4
4NO2	4	10	1	10	8	26	5	3	52	4
4NO3	1	1	1	8	0	0	0	0	9	4
4NO3	1	2	1	15	0	0	0	0	16	4
4NO3	1	3	1	33	0	0	0	0	34	4
4NO3	1	4	1	37	0	0	0	0	38	4
4NO3	1	5	1	41	8	0	0	0	50	4
4NO3	1	6	1	35	15	3	0	0	54	4
4NO3	1	7	0	23	1	25	0	0	49	4
4NO3	1	10	0	3	2	33	10	2	50	4
4NO3	2	1	1	13	0	0	0	0	14	4
4NO3	2	2	1	28	0	0	0	0	29	4
4NO3	2	3	1	43	0	0	0	0	44	4
4NO3	2	4	1	51	0	0	0	0	52	4
4NO3	2	5	1	53	13	0	0	0	67	4
4NO3	2	6	1	58	23	4	0	0	86	4
4NO3	2	7	1	57	7	32	0	0	97	4
4NO3	2	10	?	23	12	37	7	3	82	4
4NO3	3	1	1	8	0	0	0	0	9	4
4NO3	3	2	1	20	0	0	0	0	21	4
4NO3	3	3	1	34	0	0	0	0	35	4
4NO3	3	4	1	40	0	0	0	0	41	4
4NO3	3	5	1	44	8	0	0	0	53	4
4NO3	3	6	1	47	15	2	0	0	65	4
4NO3	3	7	1	46	12	18	0	0	77	4
4NO3	3	10	1	15	4	36	8	0	63	4
4NO3	4	1	1	7	0	0	0	0	8	4
4NO3	4	2	1	22	0	0	0	0	23	4
4NO3	4	3	1	32	0	0	0	0	33	4
4NO3	4	4	1	46	0	0	0	0	47	4
4NO3	4	5	1	50	8	0	0	0	59	4
4NO3	4	6	1	50	19	2	0	0	72	4
4NO3	4	7	1	43	10	22	0	0	76	4
4NO3	4	10	?	22	9	39	7	1	78	4
4NO4	1	1	1	9	0	0	0	0	10	4
4NO4	1	2	0	9	0	0	0	0	9	4
4NO4	1	3	0	8	0	0	0	0	8	4
4NO4	1	4	0	8	0	0	0	0	8	4
4NO4	1	5	0	3	5	0	0	0	8	4
4NO4	1	6	0	3	2	2	0	0	7	4
4NO4	1	7	0	2	1	4	0	0	7	4
4NO4	1	10	0	0	0	0	1	3	4	4
4NO4	2	1	1	11	0	0	0	0	12	4
4NO4	2	2	1	28	0	0	0	0	29	4
4NO4	2	3	1	43	0	0	0	0	44	4
4NO4	2	4	1	54	0	0	0	0	55	4
4NO4	2	5	1	55	7	0	0	0	63	4
4NO4	2	6	1	57	17	3	0	0	78	4
4NO4	2	7	1	47	11	18	0	0	77	4
4NO4	2	10	1	19	2	26	8	0	55	4
4NO4	3	1	1	12	0	0	0	0	13	4
4NO4	3	2	1	28	0	0	0	0	29	4
4NO4	3	3	1	41	0	0	0	0	42	4
4NO4	3	4	1	53	0	0	0	0	54	4
4NO4	3	5	1	52	13	0	0	0	66	4
4NO4	3	6	1	57	14	6	0	0	78	4
4NO4	3	7	1	53	13	17	0	0	84	4
4NO4	3	10	1	25	4	37	12	3	81	4
4NO4	4	1	1	10	0	0	0	0	11	4
4NO4	4	2	1	22	0	0	0	0	23	4
4NO4	4	3	1	31	0	0	0	0	32	4
4NO4	4	4	1	41	0	0	0	0	42	4
4NO4	4	5	1	48	10	0	0	0	59	4
4NO4	4	6	1	43	13	5	0	0	62	4
4NO4	4	7	1	46	14	20	0	0	81	4
4NO4	4	10	1	3	3	39	5	2	52	4
4NO5	1	1	1	9	0	0	0	0	10	4
4NO5	1	2	1	22	0	0	0	0	23	4
4NO5	1	3	1	33	0	0	0	0	34	4
4NO5	1	4	1	47	0	0	0	0	48	4
4NO5	1	5	1	58	9	0	0	0	68	4
4NO5	1	6	1	56	12	2	0	0	71	4
4NO5	1	7	1	48	16	12	0	0	77	4
4NO5	1	10	1	13	7	38	8	1	67	4
4NO5	2	1	1	6	0	0	0	0	7	4
4NO5	2	2	1	16	0	0	0	0	17	4
4NO5	2	3	1	28	0	0	0	0	29	4
4NO5	2	4	1	41	0	0	0	0	42	4
4NO5	2	5	1	51	3	0	0	0	55	4
4NO5	2	6	1	59	9	0	0	0	69	4
4NO5	2	7	1	59	11	13	0	0	84	4
4NO5	2	10	1	33	12	34	2	1	82	4
4NO5	3	1	1	8	0	0	0	0	9	4
4NO5	3	2	1	24	0	0	0	0	25	4
4NO5	3	3	1	36	0	0	0	0	37	4
4NO5	3	4	1	51	0	0	0	0	52	4
4NO5	3	5	1	55	6	0	0	0	62	4
4NO5	3	6	1	61	27	0	0	0	89	4
4NO5	3	7	1	52	6	19	0	0	78	4
4NO5	3	10	1	29	15	41	1	5	91	4
4NO5	4	1	1	10	0	0	0	0	11	4
4NO5	4	2	1	26	0	0	0	0	27	4
4NO5	4	3	1	37	0	0	0	0	38	4
4NO5	4	4	1	50	0	0	0	0	51	4
4NO5	4	5	1	46	7	0	0	0	54	4
4NO5	4	6	1	63	13	2	0	0	79	4
4NO5	4	7	1	58	16	19	0	0	94	4
4NO5	4	10	1	37	4	36	4	6	87	4
8NO1	1	1	1	8	0	0	0	0	9	8
8NO1	1	2	1	18	0	0	0	0	19	8
8NO1	1	3	1	23	0	0	0	0	24	8
8NO1	1	4	1	32	0	0	0	0	33	8
8NO1	1	5	1	20	9	0	0	0	30	8
8NO1	1	6	0	10	21	3	0	0	34	8
8NO1	1	7	0	1	4	25	0	0	30	8
8NO1	1	10	0	2	0	18	10	2	32	8
8NO1	2	1	1	8	0	0	0	0	9	8
8NO1	2	2	1	22	0	0	0	0	23	8
8NO1	2	3	1	31	0	0	0	0	32	8
8NO1	2	4	1	45	0	0	0	0	46	8
8NO1	2	5	1	36	11	0	0	0	48	8
8NO1	2	6	1	24	22	3	0	0	50	8
8NO1	2	7	1	9	7	30	0	0	47	8
8NO1	2	10	1	0	0	32	7	3	42	8
8NO1	3	1	1	5	0	0	0	0	6	8
8NO1	3	2	1	18	0	0	0	0	19	8
8NO1	3	3	1	25	0	0	0	0	26	8
8NO1	3	4	1	41	0	0	0	0	42	8
8NO1	3	5	1	42	8	0	0	0	51	8
8NO1	3	6	1	46	18	3	0	0	68	8
8NO1	3	7	1	34	4	25	0	0	64	8
8NO1	3	10	1	10	1	37	7	6	61	8
8NO1	4	1	1	7	0	0	0	0	8	8
8NO1	4	2	1	19	0	0	0	0	20	8
8NO1	4	3	1	29	0	0	0	0	30	8
8NO1	4	4	1	37	0	0	0	0	38	8
8NO1	4	5	1	33	6	0	0	0	40	8
8NO1	4	6	1	26	11	2	0	0	40	8
8NO1	4	7	1	24	3	16	0	0	44	8
8NO1	4	10	1	12	0	14	2	10	38	8
8NO2	1	1	1	11	0	0	0	0	12	8
8NO2	1	2	1	26	0	0	0	0	27	8
8NO2	1	3	1	33	0	0	0	0	34	8
8NO2	1	4	1	53	0	0	0	0	54	8
8NO2	1	5	1	53	9	0	0	0	63	8
8NO2	1	6	1	54	20	1	0	0	76	8
8NO2	1	7	1	37	9	17	0	0	64	8
8NO2	1	10	1	10	6	47	12	5	80	8
8NO2	2	1	1	7	0	0	0	0	8	8
8NO2	2	2	1	15	0	0	0	0	16	8
8NO2	2	3	1	22	0	0	0	0	23	8
8NO2	2	4	1	33	0	0	0	0	34	8
8NO2	2	5	1	31	6	0	0	0	38	8
8NO2	2	6	1	30	12	3	0	0	46	8
8NO2	2	7	1	22	11	13	0	0	47	8
8NO2	2	10	?	13	4	27	10	3	57	8
8NO2	3	1	1	6	0	0	0	0	7	8
8NO2	3	2	1	20	0	0	0	0	21	8
8NO2	3	3	1	26	0	0	0	0	27	8
8NO2	3	4	1	42	0	0	0	0	43	8
8NO2	3	5	1	47	4	0	0	0	52	8
8NO2	3	6	1	48	14	2	0	0	65	8
8NO2	3	7	1	53	18	11	0	0	83	8
8NO2	3	10	1	30	9	39	5	5	88	8
8NO2	4	1	1	11	0	0	0	0	12	8
8NO2	4	2	1	29	0	0	0	0	30	8
8NO2	4	3	1	43	0	0	0	0	44	8
8NO2	4	4	1	58	0	0	0	0	59	8
8NO2	4	5	1	55	15	0	0	0	71	8
8NO2	4	6	1	56	23	5	0	0	85	8
8NO2	4	7	1	41	18	21	0	0	81	8
8NO2	4	10	1	14	0	42	16	3	75	8
8NO3	1	1	1	9	0	0	0	0	10	8
8NO3	1	2	1	21	0	0	0	0	22	8
8NO3	1	3	1	33	0	0	0	0	34	8
8NO3	1	4	1	50	0	0	0	0	51	8
8NO3	1	5	1	60	1	0	0	0	62	8
8NO3	1	6	1	62	11	1	0	0	75	8
8NO3	1	7	1	63	4	16	0	0	84	8
8NO3	1	10	?	37	18	38	2	3	98	8
8NO3	2	1	1	9	0	0	0	0	10	8
8NO3	2	2	1	21	0	0	0	0	22	8
8NO3	2	3	1	37	0	0	0	0	38	8
8NO3	2	4	1	45	0	0	0	0	46	8
8NO3	2	5	1	45	6	0	0	0	52	8
8NO3	2	6	1	50	16	1	0	0	68	8
8NO3	2	7	1	48	5	29	0	0	83	8
8NO3	2	10	?	28	13	39	8	3	91	8
8NO3	3	1	1	11	0	0	0	0	12	8
8NO3	3	2	1	24	0	0	0	0	25	8
8NO3	3	3	1	36	0	0	0	0	37	8
8NO3	3	4	1	49	0	0	0	0	50	8
8NO3	3	5	1	58	6	0	0	0	65	8
8NO3	3	6	1	60	19	3	0	0	83	8
8NO3	3	7	1	58	5	30	0	0	94	8
8NO3	3	10	1	42	10	46	10	2	110	8
8NO3	4	1	1	10	0	0	0	0	11	8
8NO3	4	2	1	24	0	0	0	0	25	8
8NO3	4	3	1	41	0	0	0	0	42	8
8NO3	4	4	1	54	0	0	0	0	55	8
8NO3	4	5	1	46	7	0	0	0	54	8
8NO3	4	6	1	31	20	3	0	0	55	8
8NO3	4	7	0	13	5	32	0	0	50	8
8NO3	4	10	0	1	2	36	8	2	49	8
8NO4	1	1	1	10	0	0	0	0	11	8
8NO4	1	2	0	12	0	0	0	0	12	8
8NO4	1	3	0	12	0	0	0	0	12	8
8NO4	1	4	0	12	0	0	0	0	12	8
8NO4	1	5	0	0	10	0	0	0	10	8
8NO4	1	6	0	0	8	2	0	0	10	8
8NO4	1	7	0	0	0	13	0	0	13	8
8NO4	1	10	0	0	0	0	11	2	13	8
8NO4	2	1	1	8	0	0	0	0	9	8
8NO4	2	2	1	17	0	0	0	0	18	8
8NO4	2	3	1	34	0	0	0	0	35	8
8NO4	2	4	1	47	0	0	0	0	48	8
8NO4	2	5	1	51	12	0	0	0	64	8
8NO4	2	6	1	51	20	4	0	0	76	8
8NO4	2	7	1	46	5	32	0	0	84	8
8NO4	2	10	1	12	7	24	10	3	56	8
8NO4	3	1	1	0	0	0	0	0	1	8
8NO4	3	2	0	0	0	0	0	0	0	8
8NO4	3	3	0	0	0	0	0	0	0	8
8NO4	3	4	0	0	0	0	0	0	0	8
8NO4	3	5	0	0	0	0	0	0	0	8
8NO4	3	6	0	0	0	0	0	0	0	8
8NO4	3	7	0	0	0	0	0	0	0	8
8NO4	3	10	0	0	0	0	0	0	0	8
8NO4	4	1	1	8	0	0	0	0	9	8
8NO4	4	2	1	21	0	0	0	0	22	8
8NO4	4	3	1	34	0	0	0	0	35	8
8NO4	4	4	1	42	0	0	0	0	43	8
8NO4	4	5	1	51	9	0	0	0	61	8
8NO4	4	6	1	50	19	1	0	0	71	8
8NO4	4	7	1	56	4	31	0	0	92	8
8NO4	4	10	1	26	9	25	5	4	69	8
8NO5	1	1	1	13	0	0	0	0	14	8
8NO5	1	2	1	28	0	0	0	0	29	8
8NO5	1	3	1	40	0	0	0	0	41	8
8NO5	1	4	1	60	0	0	0	0	61	8
8NO5	1	5	1	66	11	0	0	0	78	8
8NO5	1	6	1	55	22	3	0	0	81	8
8NO5	1	7	1	36	15	22	0	0	74	8
8NO5	1	10	1	2	4	44	13	3	66	8
8NO5	2	1	1	9	0	0	0	0	10	8
8NO5	2	2	1	15	0	0	0	0	16	8
8NO5	2	3	1	31	0	0	0	0	32	8
8NO5	2	4	1	42	0	0	0	0	43	8
8NO5	2	5	1	48	7	0	0	0	56	8
8NO5	2	6	1	49	18	3	0	0	71	8
8NO5	2	7	1	41	14	14	0	0	70	8
8NO5	2	10	1	11	1	39	9	1	61	8
8NO5	3	1	1	10	0	0	0	0	11	8
8NO5	3	2	1	22	0	0	0	0	23	8
8NO5	3	3	1	29	0	0	0	0	30	8
8NO5	3	4	1	46	0	0	0	0	47	8
8NO5	3	5	1	49	5	0	0	0	55	8
8NO5	3	6	1	53	12	1	0	0	67	8
8NO5	3	7	1	46	11	17	0	0	75	8
8NO5	3	10	1	29	5	45	5	2	86	8
8NO5	4	1	1	14	0	0	0	0	15	8
8NO5	4	2	1	29	0	0	0	0	30	8
8NO5	4	3	1	33	0	0	0	0	34	8
8NO5	4	4	1	46	0	0	0	0	47	8
8NO5	4	5	1	46	10	0	0	0	57	8
8NO5	4	6	1	46	18	4	0	0	69	8
8NO5	4	7	1	47	9	22	0	0	79	8
8NO5	4	10	1	27	7	39	4	15	92	8
